#Estimated NXB spectrum by Wataru Iwakiri
#the NXB has estimated from the bgd simulator of MAXI 
#at the Crab region during MJD58000 to 58300
#the CXB component of MAXI has been subtracted 
#the flux will be changed about 40 percent due to ISS orbital position
#the Ti and Cu lines are due to the MAXI assembly 
EMIN, EMAX, counts/s/keV
0.50, 0.60, 1.042e-02
0.60, 0.70, 1.041e-02
0.70, 0.80, 1.042e-02
0.80, 0.90, 1.042e-02
0.90, 1.00, 1.042e-02
1.00, 1.10, 1.048e-02
1.10, 1.20, 1.061e-02
1.20, 1.30, 1.069e-02
1.30, 1.40, 1.076e-02
1.40, 1.50, 1.075e-02
1.50, 1.60, 1.063e-02
1.60, 1.70, 1.038e-02
1.70, 1.80, 1.003e-02
1.80, 1.90, 9.659e-03
1.90, 2.00, 9.229e-03
2.00, 2.10, 8.797e-03
2.10, 2.20, 8.361e-03
2.20, 2.30, 7.943e-03
2.30, 2.40, 7.536e-03
2.40, 2.50, 7.189e-03
2.50, 2.60, 6.940e-03
2.60, 2.70, 6.775e-03
2.70, 2.80, 6.558e-03
2.80, 2.90, 6.407e-03
2.90, 3.00, 6.216e-03
3.00, 3.10, 6.056e-03
3.10, 3.20, 6.022e-03
3.20, 3.30, 5.910e-03
3.30, 3.40, 5.845e-03
3.40, 3.50, 5.847e-03
3.50, 3.60, 5.856e-03
3.60, 3.70, 5.850e-03
3.70, 3.80, 6.043e-03
3.80, 3.90, 6.216e-03
3.90, 4.00, 6.601e-03
4.00, 4.10, 7.166e-03
4.10, 4.20, 7.695e-03
4.20, 4.30, 8.412e-03
4.30, 4.40, 9.260e-03
4.40, 4.50, 9.947e-03
4.50, 4.60, 1.061e-02
4.60, 4.70, 1.102e-02
4.70, 4.80, 1.122e-02
4.80, 4.90, 1.124e-02
4.90, 5.00, 1.112e-02
5.00, 5.10, 1.085e-02
5.10, 5.20, 1.052e-02
5.20, 5.30, 1.018e-02
5.30, 5.40, 9.958e-03
5.40, 5.50, 9.790e-03
5.50, 5.60, 9.636e-03
5.60, 5.70, 9.537e-03
5.70, 5.80, 9.482e-03
5.80, 5.90, 9.473e-03
5.90, 6.00, 9.582e-03
6.00, 6.10, 9.676e-03
6.10, 6.20, 9.672e-03
6.20, 6.30, 9.692e-03
6.30, 6.40, 9.712e-03
6.40, 6.50, 9.871e-03
6.50, 6.60, 9.996e-03
6.60, 6.70, 1.002e-02
6.70, 6.80, 1.017e-02
6.80, 6.90, 1.032e-02
6.90, 7.00, 1.043e-02
7.00, 7.10, 1.067e-02
7.10, 7.20, 1.106e-02
7.20, 7.30, 1.142e-02
7.30, 7.40, 1.199e-02
7.40, 7.50, 1.252e-02
7.50, 7.60, 1.316e-02
7.60, 7.70, 1.385e-02
7.70, 7.80, 1.457e-02
7.80, 7.90, 1.520e-02
7.90, 8.00, 1.565e-02
8.00, 8.10, 1.603e-02
8.10, 8.20, 1.637e-02
8.20, 8.30, 1.661e-02
8.30, 8.40, 1.665e-02
8.40, 8.50, 1.658e-02
8.50, 8.60, 1.650e-02
8.60, 8.70, 1.633e-02
8.70, 8.80, 1.610e-02
8.80, 8.90, 1.586e-02
8.90, 9.00, 1.563e-02
9.00, 9.10, 1.545e-02
9.10, 9.20, 1.523e-02
9.20, 9.30, 1.503e-02
9.30, 9.40, 1.484e-02
9.40, 9.50, 1.482e-02
9.50, 9.60, 1.484e-02
9.60, 9.70, 1.490e-02
9.70, 9.80, 1.489e-02
9.80, 9.90, 1.494e-02
9.90, 10.00, 1.499e-02
10.00, 10.10, 1.514e-02
10.10, 10.20, 1.517e-02
10.20, 10.30, 1.516e-02
10.30, 10.40, 1.529e-02
10.40, 10.50, 1.535e-02
10.50, 10.60, 1.534e-02
10.60, 10.70, 1.537e-02
10.70, 10.80, 1.550e-02
10.80, 10.90, 1.569e-02
10.90, 11.00, 1.579e-02
11.00, 11.10, 1.588e-02
11.10, 11.20, 1.590e-02
11.20, 11.30, 1.601e-02
11.30, 11.40, 1.612e-02
11.40, 11.50, 1.628e-02
11.50, 11.60, 1.629e-02
11.60, 11.70, 1.637e-02
11.70, 11.80, 1.644e-02
11.80, 11.90, 1.654e-02
11.90, 12.00, 1.664e-02
12.00, 12.10, 1.676e-02
12.10, 12.20, 1.686e-02
12.20, 12.30, 1.692e-02
12.30, 12.40, 1.702e-02
12.40, 12.50, 1.714e-02
12.50, 12.60, 1.718e-02
12.60, 12.70, 1.721e-02
12.70, 12.80, 1.731e-02
